unspsc,root_domain,page_url,product_title,product_summary,product_name,product_identifier,brand,intended_industries,applicability,eco_friendly,ethical_and_sustainability_practices,production_capacity,price,materials,ingredients,manufacturing_countries,manufacturing_year,manufacturing_type,customization,packaging_type,form,size,color,purity,energy_efficiency,pressure_rating,power_rating,quality_standards_and_certifications,miscellaneous_features,description
Wire working machinery and equipment and accessories,zohanenterprises.co.in,https://www.zohanenterprises.co.in/products.htm,https://www.zohanenterprises.co.in/products.htm,"The Automatic Wire Cutting Stripping And Twisting Machine is designed for industrial applications with a cutting length of 10 mm. It features outer dimensions of L 452mm, W380, H435mm and is made from aluminium.",Wire Cutting Stripping And Twisting Machine,[{'Name': 'None'}],None,['Manufacturing'],['Wire CuttingStrippingTwisting'],False,[None],"[{'quantity': 0, 'time_frame': None, 'type': None, 'unit': None}]","[{'amount': 0, 'currency': None, 'type': None}]",['Aluminium'],[None],[None],-1,[None],[None],[None],[None],"[{'dimension': 'Length', 'qualitative': False, 'type': 'exact', 'unit': 'mm', 'value': '452'}
 {'dimension': 'Width', 'qualitative': False, 'type': 'exact', 'unit': 'mm', 'value': '380'}
 {'dimension': 'Height', 'qualitative': False, 'type': 'exact', 'unit': 'mm', 'value': '435'}]","[{'original': None, 'simple': None}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",False,"[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",[None],[None],"The ""Wire Cutting Stripping And Twisting Machine"" is designed for industrial applications, specifically for cutting, stripping, and twisting wires."
Wiring harness,allfleetsolutions.com,https://allfleetsolutions.com/product-category/front-lighting-harness/series-f/,https://allfleetsolutions.com/product-category/front-lighting-harness/series-f/,"Cyntech Components offers contract manufacturing resources for the design, specification, and purchase of custom wire harnesses. These custom wire harnesses are part of the company's custom interconnect assemblies, which are used across a wide range of commercial, industrial, military, and aerospace applications.",Headlight Wiring Harness,[{'Name': 'None'}],Cyntech Components,['CommercialIndustrialMilitaryAerospace'],[None],False,[None],"[{'quantity': 0, 'time_frame': None, 'type': None, 'unit': None}]","[{'amount': 0, 'currency': None, 'type': None}]",[None],[None],[None],-1,['Custom-Built'],['Custom wire harnesses for various applications'],[None],[None],"[{'dimension': None, 'qualitative': False, 'type': None, 'unit': None, 'value': None}]","[{'original': None, 'simple': None}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",False,"[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",[None],[None],"""Custom Wire Harnesses"" manufactured by Cyntech Components are designed for the design, specification, and purchase of custom wire harnesses. These harnesses are integral to the company's custom interconnect assemblies, serving a broad spectrum of applications including commercial, industrial, military, and aerospace sectors."
Wood,dhanalaxmitimbersanddoors.com,"https://www.havanaconnect.com/shop/?yith_wcan=1&product_tag=varmdo-collection,woodgrain-collection,tempest-collection,wide-long-plank-sensation-collection,afx-anti-fingerprint-surfaces-collection&brand=hana-mfc&product_cat=mdf","https://www.havanaconnect.com/shop/?yith_wcan=1&product_tag=varmdo-collection,woodgrain-collection,tempest-collection,wide-long-plank-sensation-collection,afx-anti-fingerprint-surfaces-collection&brand=hana-mfc&product_cat=mdf","The Drop Top - #6595 - 4A Grade Big Leaf Flame Maple Value Thick 21.87""x17.62""x.5"" is a high-quality wood product offered by Kimball Hardwoods. This product is categorized under Big Leaf Flame Maple 4A, indicating its specific grade and quality. The wood is vacuum kiln dried, ensuring it is ready for immediate use. The species of this wood is Big Leaf Flame Maple (Acer Macrophyllum), known for its unique appearance and durability. The dimensions of the wood are 21.87 inches in length, 17.62 inches in combined width, and 0.5 inches in thickness. The product weighs 7 lbs and has dimensions of 26 inches by 13 inches by 3 inches. It is important to note that this item is listed as a ""Value"" due to the presence of some imperfections, which are generally minimal and do not affect the overall quality of the wood. These imperfections may include knots, which are tiny limbs that stretch out from the tree's heartwood and can be found near the center of the tree. The product is priced at $125.00 and is currently in stock. This wood is ideal for various applications, including furniture, cabinetry, and other woodworking projects, where its unique grain and texture are appreciated.",Wood Surfaces with Functional Designs,[{'Name': 'None'}],Wood Walker Customs,['Furniture MakingCabinetryInterior Design'],['Rustic Interior DesignContemporary Interior Design'],False,[None],"[{'quantity': 0, 'time_frame': None, 'type': None, 'unit': None}]","[{'amount': 0, 'currency': None, 'type': None}]",['MDFChipboardPlywoodWood'],[None],[None],-1,[None],[None],[None],[None],"[{'dimension': 'Thickness', 'qualitative': False, 'type': 'exact', 'unit': 'in', 'value': '1.625'}
 {'dimension': 'Length', 'qualitative': False, 'type': 'exact', 'unit': 'in', 'value': '67'}
 {'dimension': 'Width', 'qualitative': False, 'type': 'min', 'unit': 'in', 'value': '15'}
 {'dimension': 'Width', 'qualitative': False, 'type': 'max', 'unit': 'in', 'value': '19'}]","[{'original': 'Light Yellow', 'simple': 'Yellow'}
 {'original': 'Golden Brown', 'simple': 'Brown'}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",False,"[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",[None],['Available in VarmdoAvailable in WoodgrainAvailable in TempestAvailable in Wide Long Plank SensationAvailable in Metal'],"The ""Drop Top - #6595 - 4A Grade Big Leaf Flame Maple Value Thick 21.87\""x17.62\""x.5\"""" manufactured by Kimball Hardwoods is a high-quality wood product categorized under Big Leaf Flame Maple 4A. This wood is vacuum kiln dried, ensuring it is ready for immediate use, and is ideal for applications in furniture, cabinetry, and other woodworking projects. The product features a unique appearance and durability, with some imperfections that are generally minimal and do not affect the overall quality."
Wood crafts,your-buttons.com,https://your-buttons.com/products/3-pieces-set-25mm-wooden-button-3?pr_prod_strat=collection_fallback&pr_rec_id=89bb9ee20&pr_rec_pid=7970684207240&pr_ref_pid=8089317277832&pr_seq=uniform,https://your-buttons.com/products/3-pieces-set-25mm-wooden-button-3?pr_prod_strat=collection_fallback&pr_rec_id=89bb9ee20&pr_rec_pid=7970684207240&pr_ref_pid=8089317277832&pr_seq=uniform,"The 3D Wooden Triptych World Map Aqua Ocean is a meticulously handcrafted decorative piece designed to bring the beauty of the world into your home. This triptych features a unique design that combines three separate pieces, each made from high-quality birch plywood, to create a three-dimensional effect that enhances the aesthetic appeal of any interior. The map is available in two sizes: Medium (112 x 71 cm) and Large (112 x 71 cm), with the Medium size priced at AED 1,215 and the Large size at AED 1,425. The map is pre-installed on a board and comes with all necessary tools for assembly, making it a convenient and straightforward project. The triptych is designed to be eye-catching with its aqua color and intricate engravings, making it a perfect focal point for any space. It is customizable, allowing for the engraving of names in English upon customer request, and it is not a geographical map, meaning some smaller countries and islands may be omitted. Each piece is unique due to the natural wood material, which may result in slight variations in shade. The triptych is handcrafted in Ukraine and holds an international patent, ensuring its quality and authenticity. It is eco-friendly and comes in gift-ready packaging, including handmade wooden continents, planes, sticky tape, and instructions. The product is designed to be both functional and decorative, making it suitable for various interior styles, from traditional and farmhouse to industrial and modern. The triptych is also earth-friendly, aligning with sustainable practices. The product is available for purchase with flexible payment options, including interest-free payments, and comes with guaranteed shipping. This triptych is an excellent choice for those looking to add a touch of rustic charm and travel inspiration to their home decor.",Wooden Nutcracker Soldier Stamp,[{'Name': 'None'}],Heen,['CraftingDecorative'],['jewelry makingcraftingdecorative applications'],False,[None],"[{'quantity': 0, 'time_frame': None, 'type': None, 'unit': None}]","[{'amount': 0, 'currency': None, 'type': None}]",['Wood'],[None],['US'],-1,[None],['Customizable with engraving of names in English'],['Handmade wooden continentsPlanesSticky tapeInstructions'],[None],"[{'dimension': 'Diameter', 'qualitative': False, 'type': 'min', 'unit': 'mm', 'value': '15'}
 {'dimension': 'Diameter', 'qualitative': False, 'type': 'max', 'unit': 'mm', 'value': '20'}]","[{'original': 'Orange', 'simple': 'Orange'}
 {'original': 'Black', 'simple': 'Black'}
 {'original': 'Stain', 'simple': 'Brown'}
 {'original': 'White', 'simple': 'White'}
 {'original': 'Off White/Cream', 'simple': 'White'}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",False,"[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",['International Patent'],['Pre-installed on a boardIncludes all necessary tools for assemblyEarth-friendly'],"The ""3D Wooden Triptych World Map"" is a handcrafted decorative piece designed to enhance the aesthetic appeal of any interior. Made from high-quality birch plywood, this triptych features a unique aqua-colored design with intricate engravings, customizable with name engravings in English, and is not a geographical map, omitting some smaller countries and islands. Each piece is distinct due to natural wood variations, and it is eco-friendly with sustainable packaging. This product is suitable for various interior styles and is designed to be both functional and decorative."
Wood structural materials,directlinetimber.scot,"https://www.havanaconnect.com/shop/?yith_wcan=1&product_tag=varmdo-collection,supreme-collection,wood-collection,tempest-collection,visby-collection","https://www.havanaconnect.com/shop/?yith_wcan=1&product_tag=varmdo-collection,supreme-collection,wood-collection,tempest-collection,visby-collection","50mm x 75mm x 4800mm C16 CLS timber is a versatile, structural timber typically used for internal construction projects and building work. The actual finished size for this product is 36mm x 63mm x 4800mm. Our CLS (Canadian Lumber Standard) C16-graded timber is an ideal product for all kinds of interior construction work such as creating partitioning and internal walls. C16-graded timber follows criteria set by the European Standard BS EN519. For queries on size requirements or other products available, please contact one of our team who will be happy to assist. Only the highest-quality, sustainable timber sourced from FSC or PEFC-certified forests is used in the production of our C16-graded timber. Our Sales Team is always available to discuss your specific project requirements. Price: €6,95.",Wide Long Plank Sensation Collection,[{'Name': 'None'}],None,['ConstructionFurniture'],['internal construction projectsbuilding workcreating partitioninginternal walls'],False,['sustainable timberFSC or PEFC-certified forests'],"[{'quantity': 0, 'time_frame': None, 'type': None, 'unit': None}]","[{'amount': 0, 'currency': None, 'type': None}]",['TimberPlywoodMDFChipboardVeneered Boards'],[None],[None],-1,[None],['Available in various colors and finishes'],['Sheets'],[None],"[{'dimension': 'Length', 'qualitative': False, 'type': 'exact', 'unit': 'mm', 'value': '4800'}
 {'dimension': 'Width', 'qualitative': False, 'type': 'exact', 'unit': 'mm', 'value': '75'}
 {'dimension': 'Thickness', 'qualitative': False, 'type': 'exact', 'unit': 'mm', 'value': '50'}]","[{'original': None, 'simple': None}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",False,"[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",['FSCPEFC'],['Sourced from FSC or PEFC-certified forests'],"The ""Timber"" is a structural timber used for internal construction projects and building work. It is ideal for creating partitioning and internal walls, adhering to the European Standard BS EN519. This timber is sustainably sourced from FSC or PEFC-certified forests, ensuring environmental responsibility."
Wooden adornments,americanfarmhousebowls.com,https://prettyinpolkadots.com/products/with-grace-in-her-heart-flowers-in-her-hair-free-shipping-farmhouse-wood-sign-47x23-1528?pr_prod_strat=e5_desc&pr_rec_id=afbe054ac&pr_rec_pid=4327914045485&pr_ref_pid=4327914471469&pr_seq=uniform,https://prettyinpolkadots.com/products/with-grace-in-her-heart-flowers-in-her-hair-free-shipping-farmhouse-wood-sign-47x23-1528?pr_prod_strat=e5_desc&pr_rec_id=afbe054ac&pr_rec_pid=4327914045485&pr_ref_pid=4327914471469&pr_seq=uniform,"The Custom Engraved Married Couple Wall Plaque with 'Tree of Life' is a unique and meticulously crafted decorative wall plaque designed to celebrate the bond of a married couple. This plaque features an intricate design of the 'Tree of Life' as an artwork, making it a meaningful and artistic addition to any residence or business space. The plaque is custom designed and cut to the desired size and shape, ensuring a perfect fit for your specific needs. It is made from high-quality materials, including western Red Cedar, which is known for its durability and aesthetic appeal. The plaque is light stained, hand-painted, and clear-coated, providing a natural yet polished finish. This product is part of a broader category of custom engraved wood and HDU wall plaques, which can incorporate any text and artwork, making it versatile for various themes and purposes. The plaque can be mounted in multiple locations, including inside walls, entrance gates, between iron or wood posts, on outside walls, or on doors, and can be hung from a wrought iron scroll bracket or wood beam supported by steel or wood posts. The plaque is available in various sizes, ranging from 8 inches to 14 feet, and can be customized with any shape, border, font style, or color scheme. This makes it suitable for a wide range of applications, from primary residences and vacation homes to business spaces. The product is designed to be both functional and decorative, enhancing the aesthetic appeal of any room it is placed in. The plaque is available for fast delivery, ensuring that you can have it in time for any special occasion or event. For more information on pricing, design options, and delivery schedules, customers are encouraged to contact the company via email or phone.",Personalized Family Welcome Porch Board,[{'Name': 'None'}],Sussex Willow,['WineryVineyardTasting RoomWine CellarWine Shop'],['Decorative Wall PlaqueCustom Engraved Wood And HDU Wall Plaques'],False,['sourced from local coppicetraditional British and European techniques'],"[{'quantity': 0, 'time_frame': None, 'type': None, 'unit': None}]","[{'amount': 0, 'currency': None, 'type': None}]",['Premium PlywoodPremium Pine'],[None],['US'],-1,['Custom-Built'],"['Custom designed and cut to desired size and shapeCustomizable with any shape, border, font style, or color scheme']",[None],[None],"[{'dimension': 'Length', 'qualitative': False, 'type': 'max', 'unit': 'cm', 'value': '44.3'}
 {'dimension': 'Length', 'qualitative': False, 'type': 'min', 'unit': 'cm', 'value': '33.7'}
 {'dimension': 'Width', 'qualitative': False, 'type': 'exact', 'unit': 'cm', 'value': '6'}]","[{'original': 'Light Beech', 'simple': 'Brown'}
 {'original': 'Dark Beech', 'simple': 'Brown'}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",False,"[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",['FSC Certified'],['Light stainedHand-paintedClear-coatedMounted in multiple locationsCan be hung from a wrought iron scroll bracket or wood beam supported by steel or wood posts'],"""Wood Wall Plaques"" are meticulously crafted from high-quality wood, designed in a round shape to represent the seals of various federal government entities. These plaques are ideal for displaying in government buildings, courthouses, and other official spaces, serving as a functional and visually appealing way to showcase seals, emblems, logos, and other official insignia. They are customizable to meet specific design needs and are particularly suitable for use by US government departments, agencies, Congress, and courtrooms."
Woodwind instruments,chipx.co.nz,https://www.chipx.co.nz/collections/all/product-type_tool+flute-diamter_6+coating_uncoated+number-of-flutes_1,https://www.chipx.co.nz/collections/all/product-type_tool+flute-diamter_6+coating_uncoated+number-of-flutes_1,None,Flute Direction 37,[{'Name': 'None'}],None,[None],[None],False,[None],"[{'quantity': 0, 'time_frame': None, 'type': None, 'unit': None}]","[{'amount': 0, 'currency': None, 'type': None}]",[None],[None],[None],-1,[None],[None],[None],[None],"[{'dimension': None, 'qualitative': False, 'type': None, 'unit': None, 'value': None}]","[{'original': None, 'simple': None}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",False,"[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",[None],[None],None
Wool fabrics,fabricselection.com,https://www.fabricselection.com/products/pop4178-mauve-no-print-solid-woven-1?pr_prod_strat=e5_desc&pr_rec_id=9e449e053&pr_rec_pid=4502670245933&pr_ref_pid=7886870708473&pr_seq=uniform,https://www.fabricselection.com/products/pop4178-mauve-no-print-solid-woven-1?pr_prod_strat=e5_desc&pr_rec_id=9e449e053&pr_rec_pid=4502670245933&pr_ref_pid=7886870708473&pr_seq=uniform,"The POP4178 - MAUVE SOLID Woven Fabric is a high-quality textile product designed for various applications. This fabric is made from 100% polyester, specifically the Ceylon Air Flow material, ensuring durability and comfort. The fabric is solid in color with a mauve hue, making it suitable for a range of decorative and functional uses. The fabric has a width of 58/59 inches and a weight of 170.00 grams per square meter (GSM), providing a balanced feel and texture. The SKU for this product is 99896, and it is priced at €2.95 per yard. The minimum order quantity is 70 yards, and the current stock availability is 804.3 yards. The fabric is categorized under the Ceylon Air Flow material, which is known for its breathable properties, making it ideal for clothing and other textile applications. The care instructions for this fabric include washing in warm water, avoiding bleach, reshaping and hanging to dry, and optional cool ironing. It is also dry cleanable but not tumble dryable. This fabric is suitable for various industries and applications, including fashion, home textiles, and other textile manufacturing processes. The POP4178 - MAUVE SOLID Woven Fabric is a reliable choice for those seeking a high-quality, breathable, and versatile fabric for their projects.",Black Print Woven Fabric,['SKU: 110084'],None,['FashionHome TextilesTextile Manufacturing'],['GarmentsHome Decor ItemsTextile Projects'],False,[None],"[{'quantity': 0, 'time_frame': None, 'type': None, 'unit': None}]","[{'amount': 0, 'currency': None, 'type': None}]",['PolyesterSpandex'],[None],[None],-1,[None],[None],[None],[None],"[{'dimension': 'Width', 'qualitative': False, 'type': 'exact', 'unit': 'cm', 'value': '150'}]","[{'original': 'Natural White', 'simple': 'White'}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",False,"[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",[None],"['Breathable propertiesCare instructions: washing in warm water, avoiding bleach, reshaping and hanging to dry, optional cool ironingDry cleanable but not tumble dryableminimum order quantity is 70 yards']","The ""Black Print Woven Fabric"" is a high-quality textile product featuring a striking tropical leaf print, designed for creating stylish garments, home decor items, and other textile projects. Composed of 100% polyester, this fabric ensures durability and ease of maintenance. It should be hand washed in cold water, reshaped, and laid flat to dry, and can be ironed on a cool setting."
Word building resource materials and accessories,schoolspecialty.com,https://www.schoolspecialty.com/english-language-arts/reading/phonics-word-study,https://www.schoolspecialty.com/english-language-arts/reading/phonics-word-study,Take advantage of at-home learning time with flash cards! Item #: 1330084. Price: $13.49.,Flash Cards,[{'Name': 'None'}],None,['Education'],['at-home learning'],False,[None],"[{'quantity': 0, 'time_frame': None, 'type': None, 'unit': None}]","[{'amount': 0, 'currency': None, 'type': None}]",[None],[None],[None],-1,[None],[None],[None],[None],"[{'dimension': None, 'qualitative': False, 'type': None, 'unit': None, 'value': None}]","[{'original': None, 'simple': None}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",False,"[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",[None],[None],"""Flash Cards"" are designed for at-home learning, featuring a set of 96 flash cards to aid in the development of sight words."
Work area marking and visual indicators,workwearmallusk.co.uk,https://distributortape.com/floor-marking/,https://distributortape.com/floor-marking/,Heavy Duty Lane Marking Dispenser Tape. Product description: WOD AMTD is a dispenser used to mark floors with vinyl tapes up to 4 inches wide on a 3-inch diameter core (accommodates rolls up to a maximum outside diameter of 6 inches). The dispenser is designed for heavy-duty use. Price: $206.80.,Lane Marking Dispenser Tape,[{'Name': 'None'}],None,['ConstructionManufacturing'],['Providing Clear And Visible Information In Work Environments'],False,[None],"[{'quantity': 0, 'time_frame': None, 'type': None, 'unit': None}]","[{'amount': 0, 'currency': None, 'type': None}]",[None],[None],[None],-1,[None],['Different types of line marking to suit different needs'],[None],[None],"[{'dimension': 'Diameter', 'qualitative': False, 'type': 'exact', 'unit': 'in', 'value': '3'}]","[{'original': None, 'simple': None}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",False,"[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",[None],['Heavy Duty'],"The ""Lane Marking Dispenser Tape"" is designed for marking floors with vinyl tapes, accommodating rolls up to a maximum outside diameter of 6 inches. This heavy-duty dispenser is suitable for environments requiring robust and durable marking solutions."
Workplace safety training aids and materials,dynamitebranding.co.uk,https://diversey.com/en/video-hub?f%5B0%5D=domain_access%3Adiversey_com&f%5B1%5D=market%3A2015&f%5B2%5D=market%3A2016,https://diversey.com/en/video-hub?f%5B0%5D=domain_access%3Adiversey_com&f%5B1%5D=market%3A2015&f%5B2%5D=market%3A2016,"The Remain Safe in Long Term Care Environments Webinar 6/2020 is a comprehensive guide to maintaining safety in long-term care environments. This webinar covers a range of topics related to long-term care, including cleaning and disinfecting methods, and best practices for maintaining a safe environment. The webinar is designed to provide professionals with the knowledge and skills needed to ensure the safety of long-term care facilities. It includes detailed information on the best practices for cleaning, disinfecting, and maintaining a safe environment. The webinar is an essential resource for anyone looking to improve the safety of their long-term care facilities.",Webinar on Safety in Long Term Care Environments,[{'Name': 'None'}],None,['Chemical Safety'],['Maintaining Safety In Long-Term Care Environments'],False,[None],"[{'quantity': 0, 'time_frame': None, 'type': None, 'unit': None}]","[{'amount': 0, 'currency': None, 'type': None}]",[None],[None],[None],-1,[None],[None],[None],[None],"[{'dimension': None, 'qualitative': False, 'type': None, 'unit': None, 'value': None}]","[{'original': None, 'simple': None}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",False,"[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",[None],[None],"The ""Webinar on Safety in Long Term Care Environments"" is a comprehensive guide designed to enhance safety in long-term care environments. It covers essential topics such as cleaning and disinfecting methods, and best practices for maintaining a safe environment, specifically tailored for professionals in the long-term care industry."
Workstations and office packages,nationalbusinessfurniture.com,https://www.gojo.com/en/Newsroom/Blog?i=5&s=5&pp=f&a=Samantha+Williams&c=Consumer,https://www.gojo.com/en/Newsroom/Blog?i=5&s=5&pp=f&a=Samantha+Williams&c=Consumer,"The Workstation 022 is a versatile and robust piece of furniture designed to meet the needs of various industries, including healthcare, education, legal/law, and privacy applications. This workstation is part of the Dividends Horizon product line and is specifically categorized under the K. Base and Quoin product lines. The Workstation 022 is priced at $61,648, with an option to purchase it without seating for $56,000. It features dimensions of 6.0' x 6.0' (36.0 ft²), making it a spacious and functional piece of furniture. The workstation is designed with a perpendicular planning scenario and offers seated privacy, which can be provided by panels or screens ranging from 42"" to 50"" in height. This product is ideal for environments requiring both functionality and privacy, such as healthcare facilities, educational institutions, and legal offices. The Workstation 022 is available for download in various formats, including AutoCAD2D, AutoCAD3D, SketchUp, and Sif, ensuring compatibility with different design and planning software. The product is also accompanied by detailed plan and perspective views, facilitating easy visualization and implementation. This workstation is a high-quality, customizable solution for creating efficient and secure workspaces.",Organization & Accent Products,[{'Name': 'None'}],Office Clearance Wiltshire,['HealthcareEducationLegalPrivacy'],['Seated PrivacyFunctionality And Privacy Environments'],False,[None],"[{'quantity': 0, 'time_frame': None, 'type': None, 'unit': None}]","[{'amount': 0, 'currency': None, 'type': None}]",['Laminate'],[None],[None],-1,['Custom-Built'],['Customizable with panels or screens for privacy'],[None],[None],"[{'dimension': 'Width', 'qualitative': False, 'type': 'exact', 'unit': 'in', 'value': '60'}
 {'dimension': 'Height', 'qualitative': False, 'type': 'exact', 'unit': 'in', 'value': '45'}]","[{'original': 'Cherry', 'simple': 'Red'}
 {'original': 'Gray', 'simple': 'Gray'}
 {'original': 'White', 'simple': 'White'}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",False,"[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",[None],"['Perpendicular Planning ScenarioSeated Privacy OptionsCompatible with AutoCAD2D, AutoCAD3D, SketchUp, and Sif']","""The 'Workstation' is a robust piece of furniture designed for various industries including healthcare, education, legal, and privacy applications. It features a perpendicular planning scenario and offers options for seated privacy, making it ideal for environments requiring both functionality and privacy. This product is available in multiple formats including AutoCAD2D, AutoCAD3D, SketchUp, and Sif, and comes with detailed plan and perspective views for easy visualization and implementation."""
Wound cleaning and debridement products,wilburnmedicalusa.com,https://wilburnmedicalusa.com/convatec-esenta-423392-skin-barrier-adhesive-remover/,https://wilburnmedicalusa.com/convatec-esenta-423392-skin-barrier-adhesive-remover/,"The Convatec Esenta 423392 Skin Barrier & Adhesive Remover is a specialized medical product designed for the effective removal of skin barriers and adhesives. This product is manufactured by Convatec, a reputable brand in the medical supplies industry. The Convatec Esenta 423392 is specifically formulated to ensure a clean and safe removal of skin barriers and adhesives, making it an essential tool for medical professionals. It is available in a packaging type of 25 per pack and 20 per case, catering to various medical supply needs. This product is intended for use in the Continental US market. The Convatec Esenta 423392 is part of a broader category of medical supplies and equipment, which includes surgical and laboratory equipment. It is suitable for use in various medical settings, including hospitals, clinics, and other healthcare facilities. The product is designed to meet high standards of quality and reliability, ensuring that it performs effectively under demanding conditions. The Convatec Esenta 423392 is an indispensable tool for medical professionals who require a dependable solution for skin barrier and adhesive removal.",Skin Barrier & Adhesive Remover,[{'Name': 'None'}],Convatec,['Healthcare'],['removal of skin barriers and adhesives'],False,[None],"[{'quantity': 0, 'time_frame': None, 'type': None, 'unit': None}]","[{'amount': 0, 'currency': None, 'type': None}]",[None],[None],[None],-1,[None],[None],['Cases'],[None],"[{'dimension': None, 'qualitative': False, 'type': None, 'unit': None, 'value': None}]","[{'original': None, 'simple': None}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",False,"[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]","[{'qualitative': False, 'type': None, 'unit': None, 'value': None}]",[None],[None],"""The 'Skin Barrier & Adhesive Remover' manufactured by Convatec is designed for the effective removal of skin barriers and adhesives. This medical product is essential for medical professionals in hospitals, clinics, and other healthcare facilities, ensuring a clean and safe removal process."""
